user_id,title,pickIndex,isbn
236,밝은 밤 (최은영 첫 장편소설),0,9788954681179.0
236,누가 내 머리에 똥 쌌어,0,9788958282761.0
236,누가 내 머리에 똥 쌌어,0,9788971968413.0
236,배스커빌의 개(완벽본)(미니북) (완역본),0,
236,노트르담의 꼽추,0,
236,먼나라 이웃나라 4: 영국 (온 가족이 함께 떠나는 가장 유익하고 재미있는 세계 역사문화 여행),0,
234,홀로서기 심리학(7만 부 기념 스페셜 에디션) (이제는 흔들리지 않고 삶의 중심을 잡고 싶다면),3,
158,한국의 건강 약차 (맑고 향기로운),0,
219,"요즘 어른을 위한 최소한의 세계사 (펼치는 순간 단숨에 6,000년 역사가 읽히는)",0,9791193128428.0
299,DevOps와 SE를 위한 리눅스 커널 이야기 (단단한 서버 구축을 위한 12가지 키워드),0,
236,벽,0,9791191500905.0
155,트렌드 코리아 2023 (서울대 소비트렌드 분석센터의 2023 전망),0,
279,2023 수제비 정보처리기사 실기 1+2권 세트 (2022 기출문제 + 암기 비법서 PDF 제공),0,
276,민서와 함께 춤을,1,
219,사소하지만 쓸모 있는 뇌 사용법 (당신의 뇌를 사용할 사람은 오직 당신뿐),0,
339,"나는 내일, 어제의 너와 만난다 (Novel Engine POP)",0,
277,책상은 책상이다 (기발한 상상력과 따스한 유머가 있는 페터 빅셀의 일곱 가지 이야기),1,
339,도서실에 있어요 (아오야마 미치코 장편소설),0,
234,폭풍의 언덕 (무선),0,
339,주식회사 르브론 제임스 (억만장자 운동선수의 탄생),0,
276,강희 1 (전은정 장편소설),0,
339,심판,0,
234,완전한 행복 (정유정 장편소설),0,9791167370280.0
234,나는 소망한다 내게 금지된 것을 (양귀자 장편소설),0,9788998441074.0
234,흰 (한강 소설),0,9791141601713.0
234,마흔에 읽는 니체(10만 부 양장 리커버 에디션) (지금 이 순간을 살기 위한 철학 수업),0,
234,자기만의 방,0,
234,고독은 잴 수 없는 것,0,
234,파과 (구병모 장편소설),0,9791162203620.0
234,우울할 땐 뇌 과학 (최신 뇌과학과 신경생물학은 우울증을 어떻게 해결하는가),0,
280,2024 Resident(레지던트) 5개년 실전모의고사 (전공의 시험대비 필독서),1,
280,2023 동화 KMLE 세트,2,
280,실력 수학의 정석 기하 (2015 개정 교육과정),3,
236,이상한 나라의 경제학,0,
236,웹 크롤링과 스크레이핑 (데이터 수집과 분석을 위한 실전 가이드),0,
383,소년이 온다 (한강 장편소설),0,
236,Origin : 댄 브라운 다빈치 코드 시리즈 신작 (댄 브라운 ’오리진’),0,
236,로스트 심벌,0,
944,철학 극장 (철학과 영화의 마주침),0,
366,가족 사적 소유 국가의 기원,0,
279,클린 아키텍처 (자바 코드로 구현하는 클린 웹 애플리케이션),0,
383,데미안,0,9788937460449.0
383,데미안,0,9791190818360.0
383,데미안,0,9788931024593.0
383,데미안,0,9791194381198.0
383,데미안,0,9791171311439.0
383,데미안,0,9788932924625.0
383,데미안,0,9791187252061.0
383,데미안,0,9788965823223.0
383,데미안,0,9788971849729.0
383,데미안,0,9788985392914.0
383,데미안,0,9788935916351.0
928,작가와 작품을 분리할 수 있는가?,0,
506,내가 한 말을 내가 오해하지 않기로 함 (빠더너스 문상훈 책),0,9791189352745.0
504,채식주의자,0,
558,베르가모의 페스트 외 (옌스 페테르 야콥센 중단편 전집),0,
522,그 여름의 끝(리커버) (이성복 시집),0,
219,시대예보 (핵개인의 시대),0,
279,2023 수제비 정보처리기사 필기 1권+2권 합본 세트 (2022년 기출문제 및 CBT 문제+암기 비법서 PDF+별도 족보+데일리 문제 제공),0,
500,수치심 탐구 생활 (완벽주의와 자기의심에 대하여),0,
172,눈부신 안부 (백수린 장편소설),0,
558,장식과 범죄,0,
558,창조적 행위 (존재의 방식),0,9791197831744.0
392,뽀로로 생활동화 감정: 뽀로로는 행복해!(세이펜) (감정),1,9788964137260.0
506,"요즘 어른을 위한 최소한의 세계사 (펼치는 순간 단숨에 6,000년 역사가 읽히는)",0,9791193128428.0
227,안녕하세요,1,
279,오늘은 좀 매울지도 몰라 (떠나는 아내의 밥상을 차리는 남편의 부엌 일기),0,
219,시간이 있었으면 좋겠다 (삶의 여백을 사랑하는 일에 대해),0,
506,고통 구경하는 사회 (우리는 왜 불행과 재난에서 눈을 떼지 못하는가),0,
339,이 다정함이 모여 아주 조금만 더 행복해지길 (오늘도 무너지지않고 살아낸 당신에게 건네는 위로),0,
339,데이터 분석가의 숫자유감 (만화로 배우는 업무 데이터 분석 상식 | 직장인이여 데이터 문해력을 키워라),0,
268,자기만의 방,0,
975,서사(서사)ㆍ기억ㆍ비평의 자리 (프리드리히 횔덜린/요한 페터 헤벨/고트프리트 켈러/카를 크라우스/마르셀 프루스트/폴 발레리/니콜라이 레스코프 외),0,9788964450604.0
279,안드로이드 프로그래밍 Next Step (제대로 된 앱을 만드는 컴포넌트 활용 노하우),1,
313,침묵,1,
279,불편한 편의점 2 (김호연 장편소설),2,9791161571379.0
506,당신이 모르는 민주주의 (자본주의와 자유주의의 불편한 공존),0,
293,제로 투 원 (스탠퍼드대학교 스타트업 최고 명강의),0,9788947547567.0
506,"사람, 장소, 환대",0,
244,몰입 (인생을 바꾸는 자기 혁명),1,
310,돌이킬 수 있는 (Eversible),2,
310,천 개의 파랑 (2019년 한국과학문학상 장편대상),3,9791190090261.0
279,"불편한 편의점 (김호연 장편소설, 40만부 기념 벚꽃 에디션)",0,9791161571188.0
313,지구를 구할 여자들 (유쾌한 페미니스트의 과학기술사 뒤집어 보기),2,
630,Unf*ck Yourself 개리 비숍 ’시작의 기술’ 원서 (Get out of your head and into your life),0,
313,"작별인사 (밤하늘 에디션, 김영하 장편소설)",0,
227,"피카(fika) (스웨덴식 킨포크 테이블, 좋은 음식이 주는 단순함의 즐거움, 피카)",2,
330,"푸바오, 매일매일 행복해 (장난꾸러기 푸바오의 일상 포토 에세이)",2,9791171251704.0
316,나는 왜 혼자가 편할까 ? (인간관계가 귀찮은 사람들의 관계 심리학),1,
313,순전한 기독교 (정본 C. S. 루이스 클래식),0,
316,숙명,2,
330,[예스리커버] 아기 판다 푸바오,0,
330,"푸바오, 매일매일 행복해 (장난꾸러기 푸바오의 일상 포토 에세이)",0,9791171251704.0
320,모든 삶은 흐른다 (삶의 지표가 필요한 당신에게 바다가 건네는 말),0,
404,필독! 개발자 온보딩 가이드 (지속 가능한 소프트웨어와 원활한 협업 문화를 이해하는 프로페셔널 개발자의 탄생),0,
293,우리는 더듬거리며 무엇을 만들어 가는가,0,
240,(사용자를) 생각하게 하지 마! (웹과 모바일 사용성 원칙으로 디자인하는 UX),0,9788966261215.0
975,불가능한 애도,3,9791197507625.0
240,UX 팀 오브 원 (홀로 UX를 책임지는 디자이너를 위한 레시피),0,9788994774909.0
240,"기후변화, 그게 좀 심각합니다 (지구인을 위한 안내서)",0,
414,The War of the Worlds,0,
219,창조적 행위 (존재의 방식),0,9791197831744.0
342,천 개의 파랑 (2019년 한국과학문학상 장편대상),1,9791190090261.0
342,지구에서 한아뿐 (정세랑 장편소설),0,9791188862290.0
339,챗GPT 사용설명서 (일주일 만에 대화형 인공지능 챗봇 완전 정복),0,
339,기대 수명 시네마 (직업의 수명을 보여드립니다),0,
339,아픔이 길이 되려면 (정의로운 건강을 찾아 질병의 사회적 책임을 묻다),0,
339,UX 원칙 (UXer를 위한 101가지 원칙),0,9791161753614.0
342,멋진 신세계,2,9788973814725.0
342,멋진 신세계,2,9788931024029.0
342,멋진 신세계,2,9791156751519.0
342,멋진 신세계,2,9788962681420.0
332,왜 일하는가? (밥벌이 삶 영성을 말하다),1,
342,우리가 빛의 속도로 갈 수 없다면 (김초엽 소설),3,
336,문장의 품격 (조선의 문장가에게 배우는 치밀하고 섬세하게 일상을 쓰는 법),0,
236,비전공자를 위한 이해할 수 있는 IT 지식 (IT시대의 필수 교양서),0,
366,"지구 끝의 온실 (여름 에디션,김초엽 장편소설)",0,9791191824001.0
591,전지적 독자 시점 PART 1: 1 (싱숑 장편소설),2,9788934967316.0
567,관객,0,
567,냉정과 열정사이(BLUE),3,
567,나의 이브 생 로랑에게,0,
336,"오늘 또 일을 미루고 말았다 (일에 쫓겨 인생마저 꼬였을 때, 오늘부터 로켓 스타트 시간 관리법)",0,
236,"Zero to One (Notes on Start Ups, or How to Build the Future)",0,
236,픽사 스토리텔링 (고객의 마음을 사로잡는 9가지 스토리 법칙),0,
336,다치바나 다카시의 서재,0,
367,그리고 아무도 없었다 (애거서 크리스티 재단 공식 완역본),0,
367,카르밀라,0,
367,프랑켄슈타인 (에디터스 컬렉션),0,
367,"지구 끝의 온실 (여름 에디션,김초엽 장편소설)",0,9791191824001.0
367,암흑 동화,0,
310,"불편한 편의점 (김호연 장편소설, 40만부 기념 벚꽃 에디션)",0,9791161571188.0
366,프로젝트 헤일메리,0,9788925588735.0
366,실비아 플라스의 일기,0,9788931023718.0
367,"칵테일, 러브, 좀비 (리커버)",0,9791190174756.0
367,추리소설가의 살인사건,0,
506,어른의 어휘력(15만 부 양장 리커버 에디션) (말에 품격을 더하고 세상을 올바르게 이해하는 힘),0,
311,"불편한 편의점 (김호연 장편소설, 40만부 기념 벚꽃 에디션)",0,9791161571188.0
975,은둔기계,0,
387,"Why Fish Don’t Exist: A Story of Loss, Love, and the Hidden Order of Life (A Story of Loss, Love, and the Hidden Order of Life)",0,
500,성은이 냥극하옵니다,0,
500,꿰맨 눈의 마을 (조예은 소설),0,
630,당신이 생각하는 모든 것을 믿지 말라,0,
219,문구의 모험 (당신이 사랑한 문구의 파란만장한 연대기),0,
310,"지구 끝의 온실 (여름 에디션,김초엽 장편소설)",0,9791191824001.0
310,메리골드 마음 사진관,0,
310,밝은 밤 (최은영 첫 장편소설),1,9788954681179.0
310,구의 증명 (최진영 소설),0,
172,데미안 (1919년 오리지널 초판본 표지디자인),0,
172,각각의 계절 (권여선 소설),0,
975,픽션들,0,
268,"익스트림 프로그래밍(Extreme Programming) (변화를 포용하라, 2판)",0,
271,다정한 말이 똑똑한 말을 이깁니다 (마음의 문을 여는 말투와 태도에 관하여),0,
348,과학이 필요한 시간 (빅뱅에서 다중우주로 가는 초광속 · 초밀착 길 안내서),1,
390,Dune,0,
271,달과 6펜스,0,9788937460388.0
336,제주공부노트 (중단기 거주자를 위한),0,
607,"칵테일, 러브, 좀비 (리커버)",0,9791190174756.0
240,원씽(The One Thing) (복잡한 세상을 이기는 단순함의 힘),0,9788997575169.0
240,세상 끝의 카페 (The Cafe on the Edge of the World),0,
975,반딧불의 잔존 (이미지의 정치학),1,
975,"픽션의 가장자리 (새로운 주체, 공통의 세계를 찾아 나선 지적 여정)",2,
591,봉제인형 살인사건,0,
591,트와일라잇(Twilight): 트와일라잇 1부 (나의 뱀파이어 연인),3,
311,우리가 빛의 속도로 갈 수 없다면 (김초엽 소설),0,
219,내가 생각한 인생이 아니야,0,
567,젊은 시인에게 보내는 편지,2,
506,인생의 태도 (행복한 이기주의자로 평생 살아보니 알게 된 것들),0,9791140707546.0
365,유진과 유진,0,
522,회색 인간,0,9791196222628.0
367,"추리소설 읽는 법 (코넌도일, 레이먼드챈들러, 움베르토에코, 미야베미유키로 미스터리 입문)",0,
366,시녀 이야기(리커버 일반판),0,
366,증언들,0,
219,내 불운은 어디서 오는 것일까 (일상을 가로지르는 청년 철학자의 생각법),0,
296,밝은 밤 (최은영 첫 장편소설),0,9788954681179.0
522,눈사람 자살 사건,0,
522,저주토끼 (정보라 소설집),0,
522,채식주의자 (한강 장편소설),0,
609,카이로스 1 : 하나님의 시공간 (보이지 않는 영적 세계의 원리),0,
380,달러구트 꿈 백화점 1 (주문하신 꿈은 매진입니다),1,9791165341909.0
632,소송,0,9788931023671.0
632,냉정과 열정사이 Rosso & Blu 세트,0,
310,우리가 빛의 속도로 갈 수 없다면 (김초엽 소설),0,
525,패스트 라이브즈 각본,0,
556,"아무튼, 영양제 (영양제 먹었니?)",0,
556,데일 카네기 자기관리론(미니북) (시대를 관통하는 자기관리의 바이블),0,9791190298773.0
310,스물아홉 생일 1년 후 죽기로 결심했다(반짝 에디션) (제1회 일본감동대상 대상 수상작),0,
500,어린이라는 세계 (김소영 에세이),0,9791160946918.0
219,아픈 것에 관하여 병실 노트,0,
219,"나는 풍요로웠고, 지구는 달라졌다",0,
271,회피하지 않고 해피하게 (걱정 수집가들을 위한 최소한의 심리학),0,
219,에세이 만드는 법 (더 많은 독자를 상상하는 편집자의 모험),0,
219,"주소 이야기 (거리 이름에 담긴 부와 권력, 정체성에 대하여)",0,9788937413919.0
219,당신을 위한 것이나 당신의 것은 아닌 (서울과 파리를 걸으며 생각한 것들 | 정지돈 산문),0,
416,서울 라이프스타일 기획자들,0,
383,화이트 호스 (강화길 소설),0,
219,새벽과 음악,0,
383,죽은 자의 집 청소 (죽음 언저리에서 행하는 특별한 서비스),0,
240,하버드 첫 강의 시간관리 수업 (10만 부 기념 리커버 에디션) (하버드 청춘들은 하루 24시간을 어떻게 쓰는가!),0,
240,쇼핑의 과학 (고객을 사로잡는 오프라인 리테일의 전략),0,
296,원씽(The One Thing) (복잡한 세상을 이기는 단순함의 힘),0,9788997575169.0
296,사랑의 기술,0,9788931011623.0
296,사랑의 기술,0,9788930705981.0
850,젊은 베르테르의 슬픔,0,9791159930409.0
850,젊은 베르테르의 슬픔,0,9788971849170.0
850,젊은 베르테르의 슬픔,0,9788961704748.0
271,탱크 (제28회 한겨레문학상 수상작),0,
271,세이노의 가르침 (피보다 진하게 살아라),0,
340,존 맥스웰 리더십 불변의 법칙,0,
296,나미야 잡화점의 기적 (히가시노 게이고 장편소설),3,
340,잘 살아라 그게 최고의 복수다,0,
340,세상의 마지막 기차역 (리커버 에디션),1,9791191043754.0
304,시간이 있었으면 좋겠다 (삶의 여백을 사랑하는 일에 대해),0,
466,냉정과 열정사이 Blu,0,
234,공간의 미래 (코로나가 가속화시킨 공간 변화),0,
234,만일 내가 인생을 다시 산다면 (벌써 마흔이 된 당신에게 해 주고 싶은 말들 42│30만 부 기념 리커버 에디션),0,
234,어떤 물질의 사랑 (천선란 소설집),0,
234,오만과 편견,0,9788937460883.0
234,오만과 편견,0,9791190818315.0
234,오만과 편견,0,9788931023930.0
234,오만과 편견,0,9791189217327.0
234,오만과 편견,0,9791160871210.0
234,오만과 편견,0,9788971844663.0
234,오만과 편견,0,9788952238191.0
234,오만과 편견,0,9788935912094.0
234,오만과 편견,0,9788992295147.0
234,방구석 미술관 (오르세 미술관 | 가볍고 편하게 시작하는 유쾌한 교양 미술),0,9788968331862.0
234,잃어버린 단어들의 사전,0,
234,죽여 마땅한 사람들,0,
466,냉정과 열정사이 Rosso,0,
338,매일을 헤엄치는 법 (이연 그림 에세이),1,
296,사과가 쿵! (세계 걸작 그림책 지크),0,9788943306090.0
234,재능의 불시착 (박소연 소설집),0,
216,해리 포터와 불의 잔 1 (해리포터 20주년 개정판),1,
236,피케티가 되살린 마르크스 자본론 (19세기 경제학의 혁명적 이론과 통찰력),0,9791157953431.0
500,리틀 라이프 1 (한야 야나기하라 장편소설),0,
234,"지구 끝의 온실 (여름 에디션,김초엽 장편소설)",0,9791191824001.0
322,아주 작은 습관의 힘 (최고의 변화는 어떻게 만들어지는가),0,9791162540640.0
466,낭만적 연애와 그 후의 일상 (알랭 드 보통 장편소설),0,9788956608846.0
367,생에 감사해,0,
366,불안의 서,0,
240,"금요일엔 시골집으로 퇴근합니다 (평범한 직장인, 시골에 집을 짓다)",0,
172,목소리를 드릴게요 (정세랑 소설집),0,
366,인체재활용 (무선) (당신이 몰랐던 사체 실험 리포트),0,
366,나의 무섭고 애처로운 환자들 (치료감호소 정신과 의사가 말하는 정신질환과 범죄 이야기),0,
367,친절한 금자씨 각본,0,
366,아이히슈테트의 정원,0,
300,공정하다는 착각,0,
300,자기만의 방,0,
396,내 코드가 그렇게 이상한가요? (좋은코드 나쁜코드로 배우는 설계 입문),0,9788966263998.0
296,세이노의 가르침 (피보다 진하게 살아라),2,
367,데미안,0,9788937460449.0
367,데미안,0,9791190818360.0
367,데미안,0,9788931024593.0
367,데미안,0,9791194381198.0
367,데미안,0,9791171311439.0
367,데미안,0,9788932924625.0
367,데미안,0,9791187252061.0
367,데미안,0,9788965823223.0
367,데미안,0,9788971849729.0
367,데미안,0,9788985392914.0
367,데미안,0,9788935916351.0
369,헤세와 융 (상처받은 영혼을 위한 두 거장의 가르침),0,
500,이웃집 소시오패스의 사정,0,
219,좋은 기분 (일과 삶을 돌보는 태도에 대하여),0,9791193063224.0
268,내일은 실험왕 21: 변화의 대결 (변화의 대결),0,
219,건축가의 공간 일기 (일상을 영감으로 바꾸는 인생 공간),0,9791193063485.0
414,And Then There Were None (『그리고 아무도 없었다』원서),0,
506,"지리의 힘 (지리는 어떻게 개인의 운명을, 세계사를, 세계 경제를 좌우하는가)",0,
506,세상 멋져 보이는 것들의 사회학 (그럼에도 불구하고 던져야 할 질문),0,
506,인권도 차별이 되나요? (‘나는 괜찮다’고 여겼던 당신을 위한 인권사회학),0,
414,"Why Fish Don’t Exist: A Story of Loss, Love, and the Hidden Order of Life (A Story of Loss, Love, and the Hidden Order of Life)",0,
587,직장 상사 악령 퇴치부 (여름 한정 토무당 서핑 에디션),0,
506,우리 안의 인종주의 (이주 인권 현장에서 본 한국 사회),0,
546,구의 증명 (최진영 소설),0,
546,고요한 우연 (김수빈 장편소설),0,9788954691154.0
597,시 읽는 밤: 시 밤(니 생각 에디션),0,
608,여덟 단어 (인생을 대하는 우리의 자세),0,
522,고래 (문학동네 30주년 기념 특별판),0,
423,생각하는 늑대 타스케 (습관적인 생각을 깨는 생각의 습관 이야기),0,
